model,is_named,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s
0106,False,SA,15.000000,0.000000,72.699891,0.000000,0.054563,0.000000,1.171880,0.000000
0106,False,Potential Field,6.000000,0.000000,22.925745,0.000000,8.100124,0.000000,0.684933,0.000000
0005,False,Greedy,11.000000,0.000000,9.994244,0.000000,0.050749,0.000000,0.720502,0.000000
0005,False,Genetic (RKGA),2.000000,0.000000,8.851976,0.000000,48.396325,0.000000,0.000000,0.000000
0005,False,SA,13.000000,0.000000,166.570697,0.000000,1.200256,0.000000,0.897777,0.000000
0005,False,Potential Field,3.000000,0.000000,2.491493,0.000000,23.875593,0.000000,0.628426,0.000000
0107,False,Greedy,6.000000,0.000000,11.917859,0.000000,2.562891,0.000000,0.605717,0.000000
0107,False,Genetic (RKGA),3.000000,0.000000,10.309634,0.000000,25.394651,0.000000,0.499884,0.000000
0107,False,SA,7.000000,0.000000,16.616679,0.000000,0.793496,0.000000,0.808383,0.000000
0107,False,Potential Field,4.000000,0.000000,5.620246,0.000000,12.453640,0.000000,0.681518,0.000000
0041,False,Greedy,4.000000,0.000000,12.418160,0.000000,10.509469,0.000000,0.872988,0.000000
0041,False,Genetic (RKGA),4.000000,0.000000,14.109602,0.000000,3.307282,0.000000,0.122711,0.000000
0041,False,SA,6.000000,0.000000,21.742783,0.000000,1.534371,0.000000,0.863890,0.000000
0041,False,Potential Field,4.000000,0.000000,3.861020,0.000000,12.734315,0.000000,0.488627,0.000000
0067,False,Greedy,7.000000,0.000000,10.682162,0.000000,0.140342,0.000000,0.764970,0.000000
0067,False,Genetic (RKGA),6.000000,0.000000,24.611146,0.000000,0.285421,0.000000,0.912345,0.000000
0067,False,SA,7.000000,0.000000,13.284705,0.000000,0.625731,0.000000,0.883106,0.000000
0067,False,Potential Field,4.000000,0.000000,3.749625,0.000000,11.438369,0.000000,0.687618,0.000000
0095,False,Greedy,7.000000,0.000000,16.398772,0.000000,0.839820,0.000000,0.615139,0.000000
0095,False,Genetic (RKGA),5.000000,0.000000,15.630800,0.000000,3.125000,0.000000,0.616690,0.000000
0095,False,SA,6.000000,0.000000,19.377196,0.000000,2.833398,0.000000,0.963331,0.000000
0095,False,Potential Field,4.000000,0.000000,13.675185,0.000000,14.567271,0.000000,0.409613,0.000000
