model,method,#VP_m,#VP_s,Time_m,Time_s,Excl_m,Excl_s,CV_m,CV_s,Ovl_m,Ovl_s,_is_key,method_ord,_key_sort
0003,Potential Field,5.0000,0.0000,16.6502,3.3334,8.7540,2.1089,0.6157,0.0783,,0.0000,False,3,1
0005,Potential Field,3.0000,0.0000,2.4915,0.0000,23.8756,0.0000,0.6284,0.0000,,0.0000,False,3,1
0006,Potential Field,6.0000,0.0000,23.3737,0.0000,3.5205,0.0000,0.6710,0.0000,,0.0000,False,3,1
0007,Potential Field,3.0000,0.0000,0.1502,0.0000,20.6160,0.0000,0.6509,0.0000,,0.0000,False,3,1
0008,Potential Field,8.0000,0.0000,53.7993,0.0000,1.6988,0.0000,0.7683,0.0000,,0.0000,False,3,1
0009,Potential Field,4.0000,0.0000,3.3138,0.0000,11.8199,0.0000,0.6408,0.0000,,0.0000,False,3,1
0010,Potential Field,3.0000,0.0000,0.1580,0.0000,24.3374,0.0000,0.4683,0.0000,,0.0000,False,3,1
0012,Potential Field,4.0000,0.0000,5.3859,0.0000,15.2003,0.0000,0.4649,0.0000,,0.0000,False,3,1
0013,Potential Field,4.0000,0.0000,7.0962,0.0000,16.1076,0.0000,0.0918,0.0000,,0.0000,False,3,1
0015,Potential Field,4.0000,0.0000,8.8719,0.0000,14.6286,0.0000,0.6605,0.0000,,0.0000,False,3,1
0016,Potential Field,6.0000,0.0000,24.9407,0.0000,7.1164,0.0000,0.4645,0.0000,,0.0000,False,3,1
0017,Potential Field,8.0000,0.0000,39.7468,0.0000,3.4382,0.0000,0.6290,0.0000,,0.0000,False,3,1
0021,Potential Field,5.0000,0.0000,11.2545,0.0000,8.3354,0.0000,0.5817,0.0000,,0.0000,False,3,1
0022,Potential Field,6.0000,0.0000,24.9613,0.0000,2.8922,0.0000,1.0720,0.0000,,0.0000,False,3,1
0026,Potential Field,4.0000,0.0000,8.0342,0.0000,15.7900,0.0000,0.6726,0.0000,,0.0000,False,3,1
0029,Potential Field,3.0000,0.0000,0.7610,0.0000,25.2648,0.0000,0.4757,0.0000,,0.0000,False,3,1
0030,Potential Field,6.0000,0.0000,19.2940,0.0000,4.0713,0.0000,0.9309,0.0000,,0.0000,False,3,1
0031,Potential Field,3.0000,0.0000,0.1507,0.0000,26.6722,0.0000,0.2314,0.0000,,0.0000,False,3,1
