seed,final_coverage,monte_carlo_coverage,num_viewpoints,computation_time,convergence_point,coverage_auc,efficiency,time_efficiency
297,0.9904,0.9681,10,0.4674496650695801,13,6.083799999999999,0.09903999999999999,2.1187307939403026
298,0.9956,0.9798,12,0.5661811828613281,14,7.9133000000000004,0.08296666666666667,1.7584477021445752
299,0.9906,0.9683,10,0.4752628803253174,13,6.004700000000001,0.09906000000000001,2.0843201541890553
3,0.9902,0.9686,11,0.5343658924102783,13,7.039900000000001,0.09001818181818182,1.8530374300905772
30,0.9935,0.9672,10,0.467179536819458,13,6.096449999999999,0.09935000000000001,2.126591431559082
31,0.9951,0.9819,12,0.5613408088684082,14,8.054850000000002,0.082925,1.7727198598049467
32,0.9946,0.9748,12,0.5659797191619873,14,8.0715,0.08288333333333334,1.7573067838413812
33,0.9944,0.9738,10,0.47162795066833496,13,6.091000000000001,0.09944,2.108441619269712
34,0.9903,0.9721,11,0.5228371620178223,14,6.940049999999999,0.09002727272727272,1.8940887755148572
35,0.9936,0.9763,11,0.5811285972595215,14,7.0029,0.09032727272727273,1.709776467180596
36,0.9942,0.9787,11,0.5192809104919434,13,7.1335,0.09038181818181817,1.9145706686158357
37,0.9951,0.9762,12,0.5644717216491699,14,8.08135,0.082925,1.7628872480851643
38,0.9948,0.9838,11,0.5442702770233154,14,6.966200000000001,0.09043636363636363,1.8277683753753557
39,0.9958,0.9824,12,0.5770881175994873,14,7.9689,0.08298333333333334,1.7255597015967474
4,0.996,0.9832,12,0.5699009895324707,14,8.021,0.083,1.7476719961779463
40,0.9956,0.984,12,0.5866580009460449,14,7.9931,0.08296666666666667,1.697070522168785
41,0.9951,0.9798,12,0.5715806484222412,14,8.062750000000001,0.082925,1.740961669620582
42,0.999,0.9913,12,0.5731174945831299,14,7.932100000000001,0.08325,1.7430980722838438
43,0.9932,0.9772,12,0.5708332061767578,14,8.0039,0.08276666666666667,1.7399127963352168
44,0.9968,0.9801,11,0.5494732856750488,14,7.0266,0.09061818181818182,1.8141009326329547
45,0.9977,0.9886,12,0.5715603828430176,14,7.88825,0.08314166666666667,1.7455723488694355
46,0.9965,0.977,10,0.4787890911102295,13,6.10865,0.09965,2.081292198385907
47,0.9973,0.9839,11,0.5228135585784912,14,7.03475,0.09066363636363636,1.9075633820814022
48,0.9901,0.9684,11,0.5198638439178467,13,6.970949999999999,0.09000909090909091,1.9045371429147975
49,0.9979,0.9801,11,0.5265896320343018,14,7.051849999999999,0.09071818181818182,1.8950240173642412
5,0.9966,0.9807,11,0.5265021324157715,14,7.0557,0.0906,1.8928698264283548
50,0.9923,0.9756,10,0.4835374355316162,13,6.11375,0.09923,2.052167892459111
